                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.71183,                  1.913,                0.99809,                  1.137,                0.59443,                0.75541,                0.75788,                0.51625,                 0.5608,                0.69609,                0.70497,                0.47906,                 1.1848,                0.88199,                 1.1922,                 1.9072,               0.007756,               0.007756,               0.007756
                     70,                 0.7148,                 1.8892,                0.99786,                 1.1369,                0.62393,                0.70677,                0.77336,                0.53608,                0.62772,                0.59053,                0.70026,                 0.4755,                 1.1316,                0.82938,                 1.1816,                 1.8244,               0.007723,               0.007723,               0.007723
                     71,                0.71606,                 1.8476,                0.99863,                 1.1411,                0.79133,                0.52625,                0.68494,                0.47713,                0.73628,                0.46932,                0.62111,                0.41085,                 1.0106,                 0.7842,                   1.06,                 1.7334,                0.00769,                0.00769,                0.00769
                     72,                0.69456,                 1.9007,                0.97684,                 1.1205,                0.67479,                0.57965,                0.70801,                0.47638,                0.62864,                0.52417,                0.65181,                0.40883,                 1.1271,                0.87989,                 1.2535,                 1.8999,               0.007657,               0.007657,               0.007657
                     73,                 0.7072,                  1.882,                0.98551,                 1.1352,                0.57222,                0.65871,                0.69626,                0.47017,                0.52025,                0.59827,                0.64262,                 0.4296,                 1.0057,                0.83295,                 1.2205,                 1.7877,               0.007624,               0.007624,               0.007624
                     74,                0.69132,                  1.893,                0.97207,                 1.1197,                 0.5867,                0.61876,                0.67466,                 0.4918,                 0.5871,                0.58831,                0.65089,                0.45839,                 1.0564,                0.75746,                 1.2124,                 1.8131,               0.007591,               0.007591,               0.007591
                     75,                0.69301,                 1.8637,                0.97489,                 1.1208,                0.76069,                0.50819,                0.69602,                0.46043,                 0.7265,                0.46305,                0.66151,                0.43019,                 1.0032,                0.92269,                 1.2283,                 1.6919,               0.007558,               0.007558,               0.007558
                     76,                0.70063,                 1.8185,                0.97059,                 1.1313,                0.52581,                0.64917,                0.65362,                0.44904,                0.47532,                0.59209,                0.61255,                0.40468,                 1.0649,                0.88514,                 1.2028,                 1.7786,               0.007525,               0.007525,               0.007525
                     77,                  0.698,                 1.8502,                0.97992,                 1.1319,                0.58522,                0.65022,                0.66389,                0.48196,                0.55633,                0.58035,                0.62144,                 0.4116,                0.93294,                0.91248,                 1.1008,                 1.6389,               0.007492,               0.007492,               0.007492
                     78,                 0.6978,                 1.8706,                0.96256,                 1.1248,                 0.7673,                0.54512,                0.72837,                0.48847,                 0.7876,                0.52923,                0.69618,                0.48897,                 1.0666,                 1.0402,                 1.1754,                 1.7658,               0.007459,               0.007459,               0.007459
                     79,                0.69176,                 1.8591,                0.94257,                 1.1175,                0.54927,                0.75177,                0.70617,                0.51727,                0.51332,                 0.7062,                0.65351,                0.45335,                0.98665,                0.99766,                 1.1595,                 1.7189,               0.007426,               0.007426,               0.007426
                     80,                0.70809,                 1.9078,                0.96586,                 1.1308,                0.67064,                0.69642,                0.71657,                0.51965,                0.61418,                0.63223,                0.64859,                0.45025,                0.85225,                0.90249,                 1.0659,                 1.5712,               0.007393,               0.007393,               0.007393
                     81,                0.70299,                 1.8165,                0.95043,                  1.132,                0.75682,                 0.6682,                0.79429,                0.57085,                0.70039,                0.61066,                0.73061,                0.51311,                0.95398,                0.78558,                 1.0936,                 1.6787,                0.00736,                0.00736,                0.00736
                     82,                 0.6998,                 1.8573,                0.95321,                 1.1257,                0.73839,                0.67058,                0.76826,                0.54648,                0.68449,                0.59755,                0.68702,                 0.4993,                0.94387,                0.86245,                 1.0359,                 1.6486,               0.007327,               0.007327,               0.007327
                     83,                0.68567,                 1.8615,                 0.9202,                 1.1176,                0.53918,                0.74421,                0.74724,                0.51831,                0.47514,                0.68937,                0.69283,                 0.4807,                0.97778,                0.81955,                 1.0478,                 1.6973,               0.007294,               0.007294,               0.007294
                     84,                0.70126,                 1.8756,                0.93862,                 1.1251,                0.63219,                0.54273,                0.64536,                0.40404,                0.61039,                0.51271,                0.61552,                0.40571,                 1.1698,                0.98122,                 1.1101,                 1.9112,               0.007261,               0.007261,               0.007261
                     85,                0.70595,                 1.8363,                 0.9501,                 1.1289,                0.53654,                0.63477,                0.64858,                0.45724,                0.49983,                0.59738,                 0.6089,                0.40914,                 1.1696,                0.87649,                  1.234,                 1.7862,               0.007228,               0.007228,               0.007228
