                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.56637,                 1.4356,                 0.7029,                 1.0069,                0.84293,                0.77349,                0.88844,                 0.7139,                0.83989,                0.76747,                0.88147,                0.65522,                0.75895,                 1.4484,                0.86494,                 1.4793,               0.007195,               0.007195,               0.007195
                     87,                0.56129,                  1.378,                0.69045,                0.99885,                0.67671,                0.87529,                0.87448,                 0.6655,                0.81624,                0.80632,                0.88364,                 0.6752,                0.76408,                0.99358,                0.82328,                 1.4997,               0.007162,               0.007162,               0.007162
                     88,                 0.5645,                 1.3927,                0.70839,                 1.0088,                0.76123,                0.79494,                0.87984,                0.70301,                0.76123,                0.79494,                0.88017,                0.64761,                0.80794,                 1.0843,                0.92506,                 1.5298,               0.007129,               0.007129,               0.007129
                     89,                0.55714,                 1.4055,                0.68021,                0.99792,                0.80127,                0.88476,                 0.9254,                0.76053,                0.78614,                0.86836,                0.89685,                0.68468,                0.74091,                0.97968,                0.78016,                 1.4672,               0.007096,               0.007096,               0.007096
                     90,                0.56951,                 1.4001,                0.67585,                  1.007,                 0.8188,                0.89529,                0.91777,                0.74388,                0.83263,                0.90781,                0.92942,                0.71164,                0.73328,                0.94698,                0.74517,                  1.443,               0.007063,               0.007063,               0.007063
                     91,                0.55965,                 1.3918,                0.69109,                 1.0003,                 0.7581,                0.78901,                0.86649,                0.64456,                0.76301,                0.77883,                0.85056,                0.64344,                0.87277,                 1.1609,                0.97069,                 1.5705,                0.00703,                0.00703,                0.00703
                     92,                0.56855,                 1.4006,                0.68569,                 1.0012,                0.77348,                 0.8432,                0.89379,                0.70933,                0.76934,                0.89171,                0.89859,                0.68178,                0.82699,                 1.0893,                0.84788,                  1.565,               0.006997,               0.006997,               0.006997
                     93,                0.55645,                 1.3975,                0.67308,                  1.002,                0.81626,                0.88452,                0.91601,                0.72665,                0.81626,                0.88452,                0.91769,                0.71352,                0.72304,                0.95257,                 0.7744,                  1.409,               0.006964,               0.006964,               0.006964
                     94,                0.56462,                 1.4118,                0.68002,                 1.0002,                0.85176,                0.82556,                0.90024,                0.70724,                0.83365,                0.81588,                0.88948,                0.68402,                0.78509,                 1.0211,                0.85116,                 1.5019,               0.006931,               0.006931,               0.006931
                     95,                0.55841,                  1.396,                0.66206,                0.99462,                0.83312,                0.74033,                0.92121,                0.71403,                0.87019,                0.69565,                 0.9078,                0.72156,                0.76685,                 1.0262,                0.86111,                 1.4522,               0.006898,               0.006898,               0.006898
                     96,                0.55696,                 1.3788,                0.65773,                0.99544,                0.81501,                0.74935,                0.89652,                0.73208,                0.81709,                0.74879,                0.88884,                0.70745,                 0.7515,                 1.0324,                0.92028,                 1.4521,               0.006865,               0.006865,               0.006865
                     97,                0.55899,                 1.3659,                0.65172,                0.99777,                0.79072,                0.86296,                0.88177,                0.68433,                 0.8242,                0.85775,                0.87132,                0.66798,                0.78154,                0.98163,                0.81426,                 1.4947,               0.006832,               0.006832,               0.006832
                     98,                0.56973,                 1.3792,                0.66565,                 1.0026,                0.74605,                0.90195,                 0.9119,                0.71256,                0.74168,                0.89801,                0.90896,                0.66457,                0.76841,                 1.1468,                0.79856,                 1.4657,               0.006799,               0.006799,               0.006799
                     99,                 0.5592,                   1.42,                  0.664,                0.99288,                0.83709,                0.81268,                0.88461,                0.69752,                0.79751,                0.78019,                0.84494,                0.66569,                0.79064,                 1.1465,                0.86037,                 1.5547,               0.006766,               0.006766,               0.006766
                    100,                0.55678,                 1.3929,                0.65549,                0.99654,                0.83686,                0.79271,                0.90487,                0.74813,                0.83982,                0.79142,                0.89528,                0.70346,                0.70202,                0.95575,                0.80758,                  1.427,               0.006733,               0.006733,               0.006733
                    101,                0.57018,                 1.4086,                0.67695,                 1.0007,                0.77501,                0.83847,                0.91356,                0.73282,                0.78341,                0.84455,                0.91761,                0.66531,                0.74901,                 1.3027,                0.82807,                 1.5046,                 0.0067,                 0.0067,                 0.0067
                    102,                0.55148,                 1.3871,                0.63905,                0.99434,                0.83686,                0.78982,                0.87844,                0.70016,                0.83686,                0.78982,                0.88225,                0.67119,                 0.7029,                 1.2176,                 0.8428,                 1.4197,               0.006667,               0.006667,               0.006667
                    103,                0.54671,                 1.3678,                0.63917,                0.99193,                0.87257,                0.83383,                0.92163,                0.73723,                0.85775,                0.81716,                0.89872,                 0.6813,                0.70103,                 1.1604,                0.70706,                 1.4224,               0.006634,               0.006634,               0.006634
                    104,                0.56372,                 1.3558,                0.65234,                 0.9963,                0.81877,                0.84036,                0.90381,                0.73522,                0.82348,                0.82264,                0.89725,                0.70102,                0.70769,                 1.1496,                0.77281,                 1.3666,               0.006601,               0.006601,               0.006601
                    105,                0.56082,                 1.3797,                0.64269,                 1.0017,                 0.8483,                0.88296,                0.92965,                0.75959,                0.84759,                0.88207,                0.91725,                0.70797,                0.76597,                 1.3012,                0.76032,                 1.4647,               0.006568,               0.006568,               0.006568
                    106,                0.54661,                 1.3094,                 0.6229,                 0.9929,                0.84312,                0.80121,                0.91838,                0.73874,                0.84312,                0.80121,                0.91903,                 0.6947,                0.74992,                 1.0745,                0.79026,                 1.5136,               0.006535,               0.006535,               0.006535
